,MAN,WOMAN,associated_word
180,0.09073152393102646,0.10222765058279037,woman
181,0.182017982006073,0.16310273110866547,man
182,0.16931019723415375,0.14682728052139282,man
183,0.0842958316206932,0.06930898129940033,man
184,0.14802061021327972,0.12493399530649185,man
185,0.1480739861726761,0.11499229818582535,man
186,0.0784618929028511,0.0782294049859047,man
187,0.20451781153678894,0.2058102935552597,woman
188,0.1105361133813858,0.10835877060890198,man
189,0.1105361133813858,0.10835877060890198,man
190,0.20113034546375275,0.25261878967285156,woman
191,0.10823731124401093,0.09593165665864944,man
192,0.10811828076839447,0.10177639126777649,man
193,0.14774100482463837,0.11731404066085815,man
194,0.16450437903404236,0.14624835550785065,man
195,0.19823294878005981,0.21233230829238892,woman
196,0.1044897735118866,0.1185929924249649,woman
197,0.12731590867042542,0.12171155214309692,man
198,-0.0273763295263052,-0.03498169407248497,man
199,0.055355254560709,0.06334703415632248,woman
200,0.1745934933423996,0.15667080879211426,man
201,0.16988320648670197,0.12713219225406647,man
202,0.12951618432998657,0.1309429556131363,woman
203,0.17726241052150726,0.15633918344974518,man
204,0.19203996658325195,0.1859140247106552,man
205,0.17726241052150726,0.15633918344974518,man
206,0.19103264808654785,0.15364691615104675,man
207,0.061349064111709595,0.05742400139570236,man
208,-0.012343084439635277,-0.006602839101105928,woman
209,0.022384420037269592,0.01773839443922043,man
210,0.1363423615694046,0.13527338206768036,man
211,0.1363423615694046,0.13527338206768036,man
212,0.022384420037269592,0.01773839443922043,man
213,0.022384420037269592,0.01773839443922043,man
214,0.18177419900894165,0.21221622824668884,woman
215,0.060613568872213364,0.06945989280939102,woman
216,0.191314235329628,0.17480337619781494,man
217,0.16614046692848206,0.14638519287109375,man
218,0.0824037566781044,0.08214776962995529,man
219,0.18527841567993164,0.16443930566310883,man
220,0.1056981086730957,0.10437694936990738,man
221,0.08823949098587036,0.087910495698452,man
222,3.70456837117672e-05,0.010832831263542175,woman
223,0.06236012279987335,0.052497006952762604,man
224,0.12220180779695511,0.1130586564540863,man
225,0.2162465900182724,0.19398929178714752,man
226,0.08183672279119492,0.0781456008553505,man
227,0.07090940326452255,0.0703463926911354,man
228,0.07090940326452255,0.0703463926911354,man
229,0.06633652746677399,0.05912739410996437,man
230,0.03174286335706711,0.0312335267663002,man
231,0.1056981086730957,0.10437694936990738,man
232,0.1056981086730957,0.10437694936990738,man
233,0.17609761655330658,0.15687799453735352,man
234,0.08490874618291855,0.08773096650838852,woman
235,0.042459189891815186,0.05479658767580986,woman
236,0.21644426882266998,0.20697098970413208,man
237,0.14919716119766235,0.13913047313690186,man
238,0.16375377774238586,0.15148772299289703,man
239,0.023859357461333275,0.05223933607339859,woman
240,0.2402929961681366,0.25896432995796204,woman
241,0.2402929961681366,0.25896432995796204,woman
242,0.2570820152759552,0.3629322946071625,woman
243,0.2570820152759552,0.3629322946071625,woman
244,0.07735277712345123,0.0879078209400177,woman
245,0.23619602620601654,0.19493132829666138,man
246,0.02829637937247753,0.03591378405690193,woman
247,0.0663365051150322,0.06233897805213928,man
248,0.0663365051150322,0.06233897805213928,man
249,0.14058159291744232,0.10686634480953217,man
250,0.08681798726320267,0.08368230611085892,man
251,0.16943514347076416,0.15294666588306427,man
252,0.16943514347076416,0.15294666588306427,man
253,-0.03791723772883415,-0.02949908934533596,woman
254,0.12688399851322174,0.14670410752296448,woman
255,-0.011044137179851532,-0.02511964552104473,man
256,0.05340766906738281,0.052378978580236435,man
257,0.15368108451366425,0.1394302248954773,man
258,0.08817383646965027,0.0927734300494194,woman
259,0.11548084020614624,0.12296374142169952,woman
260,0.07852526754140854,0.08511772006750107,woman
261,0.2045288383960724,0.17385442554950714,man
262,0.0774574726819992,0.09983184933662415,woman
263,0.10596141219139099,0.11626690626144409,woman
264,0.15638986229896545,0.13550584018230438,man
265,0.08046795427799225,0.08063466101884842,woman
266,0.09095465391874313,0.057714369148015976,man
267,0.23233868181705475,0.22142156958580017,man
268,0.2019115686416626,0.17147447168827057,man
269,0.20226727426052094,0.1616635024547577,man
270,-0.029597466811537743,-0.012604142539203167,woman
271,0.20013213157653809,0.16723796725273132,man
272,0.20013213157653809,0.16723796725273132,man
273,0.026871047914028168,0.032102711498737335,woman
274,0.04615356773138046,0.03808886185288429,man
275,0.013568714261054993,0.007034520152956247,man
276,0.04615356773138046,0.03808886185288429,man
277,0.03543633967638016,0.029984936118125916,man
278,0.04745086282491684,0.039897482842206955,man
279,0.04745086282491684,0.039897482842206955,man
280,0.04745086282491684,0.039897482842206955,man
281,0.04745086282491684,0.039897482842206955,man
282,0.04745086282491684,0.039897482842206955,man
283,0.03543633967638016,0.029984936118125916,man
284,0.04745086282491684,0.039897482842206955,man
285,0.04745086282491684,0.039897482842206955,man
286,0.11856074631214142,0.10930100828409195,man
287,0.03543633967638016,0.029984936118125916,man
288,0.10170990973711014,0.09606996923685074,man
289,0.04753239080309868,0.036328401416540146,man
290,0.24919500946998596,0.2867569625377655,woman
291,0.24919500946998596,0.2867569625377655,woman
292,-0.007717966102063656,0.006768354214727879,woman
293,0.23993335664272308,0.18813930451869965,man
294,0.23993335664272308,0.18813930451869965,man
295,0.23993335664272308,0.18813930451869965,man
296,0.23993335664272308,0.18813930451869965,man
297,-0.007717966102063656,0.006768354214727879,woman
298,0.11993169784545898,0.15225569903850555,woman
299,0.11993169784545898,0.15225569903850555,woman
300,0.16331921517848969,0.1670054793357849,woman
301,0.20252056419849396,0.18141064047813416,man
302,0.08431081473827362,0.08001545071601868,man
303,0.08431081473827362,0.08001545071601868,man
304,0.2539450228214264,0.19085055589675903,man
305,0.1495048999786377,0.1574365496635437,woman
306,0.1026206687092781,0.10756788402795792,woman
307,0.1026206687092781,0.10756788402795792,woman
308,0.24604441225528717,0.23633363842964172,man
309,0.13029085099697113,0.10518641769886017,man
310,0.09060410410165787,0.1009075790643692,woman
311,0.005719833076000214,0.017723863944411278,woman
312,0.005719833076000214,0.017723863944411278,woman
313,0.12256283313035965,0.09237416833639145,man
314,0.1361403465270996,0.1434343159198761,woman
315,0.1361403465270996,0.1434343159198761,woman
316,0.1518428921699524,0.12986406683921814,man
317,0.26289159059524536,0.20325960218906403,man
318,0.26289159059524536,0.20325960218906403,man
319,0.12380178272724152,0.1206444501876831,man
320,0.12184067070484161,0.0938877984881401,man
321,0.021439431235194206,0.009309266693890095,man
